model,r2_score,rmse,mae
Linear Regression,0.5611140295675185,17.87934468171605,12.662637093086023
Ridge Regression,0.561090359197841,17.879826817191585,12.663277129141319
Champion Voting Ensemble,0.5373404660632543,18.357202798757484,12.898626771776527
XGBoost,0.526670487570934,18.56767559252327,13.029963932539287
Random Forest,0.5253674716696282,18.593215251531742,13.118922203706592
LightGBM,0.4841206628476544,19.384286243860476,13.382091179039898
Gradient Boosting,0.4810234481732393,19.44238844784286,13.573233033622754
