fold,train_rows,test_rows,r2_score,rmse,mae
1,253,253,0.37041680900535745,18.958342608249566,14.132375086915427
2,506,253,0.3488761922707694,27.608263553313527,17.550834335727775
3,759,253,0.39635975032514237,13.209826455674119,9.58891015852848
4,1012,253,0.5950137711602657,17.045272226066437,11.349184198244656
5,1265,253,0.5492846593993632,19.475285264937796,13.916514668844647
