Date,AQI
2023-01-01,104.0
2023-01-02,76.0
2023-01-03,86.0
2023-01-04,99.0
2023-01-05,80.0
2023-01-06,95.0
2023-01-07,101.0
2023-01-08,184.0
2023-01-09,118.0
2023-01-10,140.0
2023-01-11,125.0
2023-01-12,111.0
2023-01-13,106.0
2023-01-14,147.0
2023-01-15,77.0
2023-01-16,65.0
2023-01-17,71.0
2023-01-18,95.0
2023-01-19,115.0
2023-01-20,124.0
2023-01-21,120.0
2023-01-22,114.0
2023-01-23,97.0
2023-01-24,72.0
2023-01-25,100.0
2023-01-26,159.0
2023-01-27,105.0
2023-01-28,113.0
2023-01-29,132.0
2023-01-30,85.0
2023-01-31,96.0
2023-02-01,101.0
2023-02-02,81.0
2023-02-03,95.0
2023-02-04,101.0
2023-02-05,113.0
2023-02-06,108.0
2023-02-07,92.0
2023-02-08,95.0
2023-02-09,96.0
2023-02-10,91.0
2023-02-11,99.0
2023-02-12,136.0
2023-02-13,136.0
2023-02-14,120.0
2023-02-15,105.0
2023-02-16,131.0
2023-02-17,134.0
2023-02-18,126.0
2023-02-19,75.0
2023-02-20,74.0
2023-02-21,97.0
2023-02-22,98.0
2023-02-23,111.0
2023-02-24,78.0
2023-02-25,86.0
2023-02-26,98.0
2023-02-27,98.0
2023-02-28,84.0
2023-03-01,85.0
2023-03-02,92.0
2023-03-03,118.0
2023-03-04,113.0
2023-03-05,91.0
2023-03-06,93.0
2023-03-07,91.0
2023-03-08,74.0
2023-03-09,87.0
2023-03-10,93.0
2023-03-11,94.0
2023-03-12,90.0
2023-03-13,85.0
2023-03-14,90.0
2023-03-15,104.0
2023-03-16,61.0
2023-03-17,61.0
2023-03-18,54.0
2023-03-19,51.0
2023-03-20,46.0
2023-03-21,48.0
2023-03-22,55.0
2023-03-23,43.0
2023-03-24,55.0
2023-03-25,41.0
2023-03-26,39.0
2023-03-27,42.0
2023-03-28,54.0
2023-03-29,58.0
2023-03-30,56.0
2023-03-31,63.0
2023-04-01,65.0
2023-04-02,54.0
2023-04-03,72.0
2023-04-04,53.0
2023-04-05,53.0
2023-04-06,53.0
2023-04-07,42.0
2023-04-08,54.0
2023-04-09,56.0
2023-04-10,60.0
2023-04-11,69.0
2023-04-12,83.0
2023-04-13,103.0
2023-04-14,98.0
2023-04-15,74.0
2023-04-16,78.0
2023-04-17,84.0
2023-04-18,72.0
2023-04-19,75.0
2023-04-20,70.0
2023-04-21,73.0
2023-04-22,65.0
2023-04-23,60.0
2023-04-24,64.0
2023-04-25,51.0
2023-04-26,62.0
2023-04-27,75.0
2023-04-28,58.0
2023-04-29,54.0
2023-04-30,59.0
2023-05-01,59.0
2023-05-02,58.0
2023-05-03,59.0
2023-05-04,59.0
2023-05-05,62.0
2023-05-06,64.0
2023-05-07,66.0
2023-05-08,65.0
2023-05-09,67.0
2023-05-10,58.0
2023-05-11,82.0
2023-05-12,111.0
2023-05-13,89.0
2023-05-14,101.0
2023-05-15,92.0
2023-05-16,83.0
2023-05-17,88.0
2023-05-18,71.0
2023-05-19,83.0
2023-05-20,76.0
2023-05-21,65.0
2023-05-22,68.0
2023-05-23,75.0
2023-05-24,72.0
2023-05-25,67.0
2023-05-26,79.0
2023-05-27,75.0
2023-05-28,86.0
2023-05-29,76.0
2023-05-30,70.0
2023-05-31,83.0
2023-06-01,82.0
2023-06-02,90.0
2023-06-03,92.0
2023-06-04,80.0
2023-06-05,88.0
2023-06-06,70.0
2023-06-07,72.0
2023-06-08,73.0
2023-06-09,69.0
2023-06-10,67.0
2023-06-11,67.0
2023-06-12,54.0
2023-06-13,58.0
