Date,AQI
2022-01-01,60.0
2022-01-02,49.0
2022-01-03,68.0
2022-01-04,77.0
2022-01-05,78.0
2022-01-06,66.0
2022-01-07,61.0
2022-01-08,42.0
2022-01-09,50.0
2022-01-10,48.0
2022-01-11,45.0
2022-01-12,50.0
2022-01-13,57.0
2022-01-14,39.0
2022-01-15,37.0
2022-01-16,41.0
2022-01-17,49.0
2022-01-18,56.0
2022-01-19,79.0
2022-01-20,92.0
2022-01-21,90.0
2022-01-22,78.0
2022-01-23,69.0
2022-01-24,55.0
2022-01-25,70.0
2022-01-26,44.0
2022-01-27,50.0
2022-01-28,68.0
2022-01-29,105.0
2022-01-30,105.0
2022-01-31,105.0
2022-02-01,95.0
2022-02-02,75.0
2022-02-03,63.0
2022-02-04,58.0
2022-02-05,62.0
2022-02-06,59.0
2022-02-07,67.0
2022-02-08,83.0
2022-02-09,68.0
2022-02-10,85.0
2022-02-11,69.0
2022-02-12,95.0
2022-02-13,110.0
2022-02-14,114.0
2022-02-15,98.0
2022-02-16,91.0
2022-02-17,100.0
2022-02-18,91.0
2022-02-19,68.0
2022-02-20,112.0
2022-02-21,105.0
2022-02-22,87.0
2022-02-23,62.0
2022-02-24,58.0
2022-02-25,70.0
2022-02-26,68.0
2022-02-27,71.0
2022-02-28,62.0
2022-03-01,68.0
2022-03-02,84.0
2022-03-03,82.0
2022-03-04,92.0
2022-03-05,72.0
2022-03-06,64.0
2022-03-07,60.0
2022-03-08,82.0
2022-03-09,96.0
2022-03-10,86.0
2022-03-11,80.0
2022-03-12,90.0
2022-03-13,89.0
2022-03-14,97.0
2022-03-15,110.0
2022-03-16,103.0
2022-03-17,116.0
2022-03-18,93.0
2022-03-19,63.0
2022-03-20,96.0
2022-03-21,94.0
2022-03-22,102.0
2022-03-23,77.0
2022-03-24,66.0
2022-03-25,60.0
2022-03-26,56.0
2022-03-27,55.0
2022-03-28,47.0
2022-03-29,44.0
2022-03-30,45.0
2022-03-31,45.0
2022-04-01,45.0
2022-04-02,42.0
2022-04-03,44.0
2022-04-04,41.0
2022-04-05,34.0
2022-04-06,44.0
2022-04-07,49.0
2022-04-08,42.0
2022-04-09,43.0
2022-04-10,46.0
2022-04-11,42.0
2022-04-12,35.0
2022-04-13,36.0
2022-04-14,39.0
2022-04-15,35.0
2022-04-16,38.0
2022-04-17,50.0
2022-04-18,47.0
2022-04-19,45.0
2022-04-20,40.0
2022-04-21,39.0
2022-04-22,44.0
2022-04-23,38.0
2022-04-24,43.0
2022-04-25,47.0
2022-04-26,52.0
2022-04-27,43.0
2022-04-28,45.0
2022-04-29,61.0
2022-04-30,46.0
2022-05-01,58.0
2022-05-02,89.0
2022-05-03,84.0
2022-05-04,58.0
2022-05-05,91.0
2022-05-06,56.0
2022-05-07,80.0
2022-05-08,78.0
2022-05-09,94.0
2022-05-10,81.0
2022-05-11,71.0
2022-05-12,61.0
2022-05-13,61.0
2022-05-14,69.0
2022-05-15,69.0
2022-05-16,52.0
2022-05-17,57.0
2022-05-18,57.0
2022-05-19,57.0
2022-05-20,71.0
2022-05-21,79.0
2022-05-22,85.0
2022-05-23,56.0
2022-05-24,73.0
2022-05-25,61.0
2022-05-26,67.0
2022-05-27,67.0
2022-05-28,72.0
2022-05-29,68.0
2022-05-30,58.0
2022-05-31,68.0
2022-06-01,69.0
2022-06-02,75.0
2022-06-03,75.0
2022-06-04,83.0
2022-06-05,71.0
2022-06-06,62.0
2022-06-07,62.0
2022-06-08,68.0
2022-06-09,67.0
2022-06-10,60.0
2022-06-11,69.0
2022-06-12,65.0
2022-06-13,64.0
2022-06-14,54.0
2022-06-15,54.0
2022-06-16,56.0
2022-06-17,54.0
2022-06-18,52.0
2022-06-19,63.0
2022-06-20,58.0
2022-06-21,55.0
2022-06-22,59.0
2022-06-23,63.0
2022-06-24,64.0
2022-06-25,62.0
2022-06-26,64.0
2022-06-27,66.0
2022-06-28,76.0
2022-06-29,84.0
2022-06-30,77.0
2022-07-01,63.0
2022-07-02,53.0
2022-07-03,65.0
2022-07-04,64.0
2022-07-05,52.0
2022-07-06,52.0
2022-07-07,62.0
2022-07-08,65.0
2022-07-09,70.0
2022-07-10,60.0
2022-07-11,50.0
2022-07-12,51.0
2022-07-14,53.0
2022-07-15,60.0
2022-07-16,69.0
2022-07-17,47.0
2022-07-18,61.0
2022-07-19,79.0
2022-07-20,76.0
2022-07-21,70.0
2022-07-22,52.0
2022-07-23,65.0
2022-07-24,55.0
2022-07-25,70.0
2022-07-26,54.0
2022-07-27,70.0
2022-07-28,49.0
2022-07-29,51.0
2022-07-30,50.0
2022-07-31,58.0
2022-08-01,61.0
2022-08-02,61.0
2022-08-03,56.0
2022-08-04,84.0
2022-08-05,57.0
2022-08-06,49.0
2022-08-07,54.0
