Date,AQI_Forecast
2025-04-01,63.86690431449441
2025-04-02,61.872241314500414
2025-04-03,66.11011677119224
2025-04-04,63.604260016885874
2025-04-05,57.89601346678793
2025-04-06,60.70315800194709
2025-04-07,57.77811216405543
2025-04-08,59.47415006358505
2025-04-09,53.20396401722987
2025-04-10,57.47632291339933
2025-04-11,62.36610068952408
2025-04-12,67.91034069099317
2025-04-13,73.25923557502865
2025-04-14,66.76139563501279
2025-04-15,66.50687391601485
2025-04-16,66.38183602238757
2025-04-17,61.655650586740684
2025-04-18,64.69924929205729
2025-04-19,76.69813800133878
2025-04-20,71.47903056301395
2025-04-21,66.96546739960714
2025-04-22,69.83037943943727
2025-04-23,71.52629974437538
2025-04-24,70.36430367556979
2025-04-25,72.72489234635555
2025-04-26,74.66365622454974
2025-04-27,77.03688321429709
2025-04-28,78.53547466367033
2025-04-29,81.63118634338507
2025-04-30,72.78549047580236
